user_id,date,activity_type,duration_min,intensity
1,2026-03-08,swimming,23,medium
1,2026-02-08,running,99,high
1,2026-04-03,cycling,81,low
1,2026-02-20,cycling,77,medium
1,2026-02-07,running,76,medium
1,2026-01-28,cycling,116,high
1,2026-02-28,running,117,high
1,2026-01-27,strength,28,low
1,2026-03-04,running,49,medium
1,2026-03-08,strength,76,medium
1,2026-03-28,running,81,medium
1,2026-01-28,cycling,32,high
1,2026-03-02,strength,28,low
1,2026-02-24,swimming,50,medium
1,2026-04-04,running,96,high
1,2026-02-07,running,93,high
1,2026-02-22,running,53,medium
1,2026-01-25,running,74,medium
1,2026-04-03,cycling,43,medium
1,2026-02-22,running,68,high
3,2026-01-06,running,119,low
3,2026-02-19,swimming,72,medium
3,2026-03-07,cycling,76,high
3,2026-03-17,strength,38,medium
3,2026-01-17,running,102,low
3,2026-02-25,swimming,46,medium
3,2026-02-15,running,58,high
3,2026-03-04,cycling,102,medium
3,2026-03-21,strength,45,low
3,2026-01-24,running,111,low
3,2026-02-16,cycling,41,high
4,2026-02-17,cycling,57,medium
4,2026-03-31,strength,57,low
4,2026-03-19,cycling,91,medium
4,2026-03-20,cycling,48,medium
4,2026-01-18,running,25,medium
4,2026-03-25,swimming,41,high
4,2026-02-17,running,69,high
4,2026-01-11,cycling,74,medium
4,2026-01-17,cycling,44,high
4,2026-02-14,strength,54,medium
4,2026-02-06,swimming,67,medium
4,2026-03-18,running,92,low
4,2026-04-01,strength,113,medium
4,2026-04-05,swimming,82,medium
4,2026-03-25,running,21,low
4,2026-01-16,strength,118,medium
4,2026-03-26,swimming,65,high
4,2026-03-22,cycling,61,high
4,2026-01-16,strength,83,high
4,2026-04-04,running,85,medium
4,2026-03-11,strength,97,high
4,2026-02-17,running,86,medium
4,2026-03-19,running,106,low
4,2026-01-31,cycling,89,medium
4,2026-02-21,cycling,64,medium
4,2026-02-25,running,22,high
4,2026-01-20,running,65,high
4,2026-03-07,running,104,high
4,2026-01-30,cycling,52,medium
4,2026-02-19,running,111,medium
4,2026-03-26,running,21,high
4,2026-03-10,strength,40,medium
4,2026-02-13,cycling,112,high
4,2026-02-04,running,44,medium
4,2026-03-05,running,60,low
4,2026-04-05,running,32,medium
4,2026-02-17,running,54,medium
4,2026-04-01,cycling,96,low
4,2026-02-11,strength,72,high
4,2026-01-27,cycling,52,low
4,2026-02-15,swimming,35,low
4,2026-01-20,running,58,high
4,2026-01-08,running,63,low
4,2026-01-09,running,96,high
4,2026-03-22,running,82,medium
4,2026-01-16,strength,43,high
4,2026-03-19,strength,109,low
4,2026-02-10,cycling,109,high
4,2026-03-14,strength,98,medium
4,2026-03-12,running,42,medium
4,2026-01-15,running,112,medium
4,2026-03-18,strength,75,medium
4,2026-03-14,running,52,high
4,2026-03-19,cycling,51,medium
4,2026-03-20,strength,89,high
4,2026-03-03,running,87,high
4,2026-01-08,strength,110,high
4,2026-02-04,cycling,99,medium
4,2026-03-21,cycling,31,medium
4,2026-03-16,strength,119,medium
4,2026-03-05,running,107,medium
4,2026-03-12,running,111,medium
4,2026-02-27,cycling,89,medium
4,2026-02-10,cycling,89,high
4,2026-02-18,running,45,high
5,2026-03-06,running,114,medium
5,2026-03-20,cycling,55,low
5,2026-03-13,strength,110,medium
5,2026-03-05,running,37,high
5,2026-03-28,swimming,83,low
5,2026-02-11,swimming,102,medium
5,2026-02-02,strength,68,high
5,2026-01-09,running,34,medium
5,2026-02-28,strength,45,medium
5,2026-01-12,running,23,medium
